Statute,State,Universal Citation,Section #,Statute Language,Complete Statute,Contributing Factor,Source URL,Source Type,Authority Level,Jurisdiction,Code,Base Section,Canonical Citation,Relevance Tier,Topic / Working Title,Contributing Factor Hint,Injury Relevance Reason,Row Granularity,Suggested DB Table,Suggested Primary Key,Notes
Cal. Veh. Code § 20001,California,Cal. Veh. Code,20001,"“[t]he driver of a vehicle involved in an accident resulting in injury to a person, other than himself or herself, or in the death of a person shall immediately stop the vehicle at the scene of the accident and shall fulfill the requirements of Sections 20003 and 20004.”","Pursuant to Cal. Veh. Code § 20001(a), “[t]he driver of a vehicle involved in an accident resulting in injury to a person, other than himself or herself, or in the death of a person shall immediately stop the vehicle at the scene of the accident and shall fulfill the requirements of Sections 20003 and 20004.”",Fleeing the Scene of a Collision,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20001,official_state_code_section,official,CA,Vehicle Code,20001,Cal. Veh. Code § 20001,accident_reporting,Hit-and-run causing injury or death,accident reporting / hit and run,Directly covers driver duties after an accident resulting in injury or death.,base_section,statutes,CA|VEH|20001,
Cal. Veh. Code § 20002,California,Cal. Veh. Code,20002,"[t]he driver of any vehicle involved in an accident resulting only in damage to any property, including vehicles, shall immediately stop the vehicle at the nearest location that will not impede traffic or otherwise jeopardize the safety of other motorists.","Pursuant to Cal. Veh. Code § 20002(a), ""[t]he driver of any vehicle involved in an accident resulting only in damage to any property, including vehicles, shall immediately stop the vehicle at the nearest location that will not impede traffic or otherwise jeopardize the safety of other motorists.""",Fleeing the Scene of a Collision,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20002,official_state_code_section,official,CA,Vehicle Code,20002,Cal. Veh. Code § 20002,accident_reporting,Hit-and-run property damage,accident reporting / hit and run,"Not bodily injury specific, but included because it is in the released eval and related to collision-scene duties.",base_section,statutes,CA|VEH|20002,
Cal. Veh. Code § 20003,California,Cal. Veh. Code,20003,Official statutory language for Cal. Veh. Code § 20003 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20003 — Duties after injury/death accident. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20003,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20003,official_state_code_section,official,CA,Vehicle Code,20003,Cal. Veh. Code § 20003,accident_reporting,Duties after injury/death accident,accident reporting / hit and run,Requires information exchange and reasonable assistance after injury/death accident.,base_section,statutes,CA|VEH|20003,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20004,California,Cal. Veh. Code,20004,Official statutory language for Cal. Veh. Code § 20004 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20004 — Death accident reporting duties. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20004,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20004,official_state_code_section,official,CA,Vehicle Code,20004,Cal. Veh. Code § 20004,accident_reporting,Death accident reporting duties,accident reporting / hit and run,Duties when an accident results in death and no officer is present.,base_section,statutes,CA|VEH|20004,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20008,California,Cal. Veh. Code,20008,Official statutory language for Cal. Veh. Code § 20008 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20008 — Written report after injury/death accident. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20008,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20008,official_state_code_section,official,CA,Vehicle Code,20008,Cal. Veh. Code § 20008,accident_reporting,Written report after injury/death accident,accident reporting / hit and run,Requires reporting to CHP/local police within 24 hours after injury/death accident.,base_section,statutes,CA|VEH|20008,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20009,California,Cal. Veh. Code,20009,Official statutory language for Cal. Veh. Code § 20009 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20009 — Supplemental accident reports. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20009,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20009,official_state_code_section,official,CA,Vehicle Code,20009,Cal. Veh. Code § 20009,accident_reporting,Supplemental accident reports,accident reporting / hit and run,Relevant to follow-up reporting after accidents.,base_section,statutes,CA|VEH|20009,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20010,California,Cal. Veh. Code,20010,Official statutory language for Cal. Veh. Code § 20010 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20010 — Occupant report if driver incapable. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20010,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20010,official_state_code_section,official,CA,Vehicle Code,20010,Cal. Veh. Code § 20010,accident_reporting,Occupant report if driver incapable,accident reporting / hit and run,Relevant when driver cannot report after an accident.,base_section,statutes,CA|VEH|20010,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20011,California,Cal. Veh. Code,20011,Official statutory language for Cal. Veh. Code § 20011 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20011 — Coroner/medical examiner accident death reports. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20011,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20011,official_state_code_section,official,CA,Vehicle Code,20011,Cal. Veh. Code § 20011,accident_reporting,Coroner/medical examiner accident death reports,accident reporting / hit and run,Directly tied to deaths resulting from motor vehicle accidents.,base_section,statutes,CA|VEH|20011,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20012,California,Cal. Veh. Code,20012,Official statutory language for Cal. Veh. Code § 20012 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20012 — Disclosure of accident reports. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20012,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20012,official_state_code_section,official,CA,Vehicle Code,20012,Cal. Veh. Code § 20012,accident_reporting,Disclosure of accident reports,accident reporting / hit and run,"Relevant to injured persons, attorneys, insurers, and parties requesting accident reports.",base_section,statutes,CA|VEH|20012,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20013,California,Cal. Veh. Code,20013,Official statutory language for Cal. Veh. Code § 20013 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20013 — Evidentiary status of accident reports. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20013,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20013,official_state_code_section,official,CA,Vehicle Code,20013,Cal. Veh. Code § 20013,accident_reporting,Evidentiary status of accident reports,accident reporting / hit and run,Relevant to litigation use of accident reports.,base_section,statutes,CA|VEH|20013,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 20016,California,Cal. Veh. Code,20016,Official statutory language for Cal. Veh. Code § 20016 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 20016 — Transporting injured accident victims. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20016,accident reporting / hit and run,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20016,official_state_code_section,official,CA,Vehicle Code,20016,Cal. Veh. Code § 20016,accident_reporting,Transporting injured accident victims,accident reporting / hit and run,Directly concerns transport of injured accident victims.,base_section,statutes,CA|VEH|20016,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21070,California,Cal. Veh. Code,21070,Official statutory language for Cal. Veh. Code § 21070 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21070 — Unsafe operation causing bodily injury. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21070,bodily injury,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21070,official_state_code_section,official,CA,Vehicle Code,21070,Cal. Veh. Code § 21070,direct_injury_offense,Unsafe operation causing bodily injury,bodily injury,Directly concerns unsafe motor-vehicle operation causing bodily injury or great bodily injury.,base_section,statutes,CA|VEH|21070,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21451,California,Cal. Veh. Code,21451,"“[a] driver facing a circular green signal shall proceed straight through or turn right or left or make a U-turn unless a sign prohibits a U-turn. Any driver, including one turning, shall yield the right-of-way to other traffic and to pedestrians lawfully within the intersection or an adjacent crosswalk.” || “[a] driver facing a green arrow signal, shown alone or in combination with another indication, shall enter the intersection only to make the movement indicated by that green arrow or any other movement that is permitted by other indications shown at the same time. A driver facing a left green arrow may also make a U-turn unless prohibited by a sign. A driver shall yield the right-of-way to other traffic and to a pedestrian lawfully within the intersection or an adjacent crosswalk.”","Pursuant to Cal. Veh. Code § 21451(a), “[a] driver facing a circular green signal shall proceed straight through or turn right or left or make a U-turn unless a sign prohibits a U-turn. Any driver, including one turning, shall yield the right-of-way to other traffic and to pedestrians lawfully within the intersection or an adjacent crosswalk.” || Pursuant to Cal. Veh. Code § 21451(b), “[a] driver facing a green arrow signal, shown alone or in combination with another indication, shall enter the intersection only to make the movement indicated by that green arrow or any other movement that is permitted by other indications shown at the same time. A driver facing a left green arrow may also make a U-turn unless prohibited by a sign. A driver shall yield the right-of-way to other traffic and to a pedestrian lawfully within the intersection or an adjacent crosswalk.”",Improper Turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21451,official_state_code_section,official,CA,Vehicle Code,21451,Cal. Veh. Code § 21451,common_crash_causation,Traffic signal directions,traffic signal / improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21451,
Cal. Veh. Code § 21452,California,Cal. Veh. Code,21452,Official statutory language for Cal. Veh. Code § 21452 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21452 — Traffic signal directions at official traffic-control signal. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21452,traffic signal,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21452,official_state_code_section,official,CA,Vehicle Code,21452,Cal. Veh. Code § 21452,common_crash_causation,Traffic signal directions at official traffic-control signal,traffic signal,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21452,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21453,California,Cal. Veh. Code,21453,"[a] driver facing a steady circular red signal alone shall stop at a marked limit line, but if none, before entering the crosswalk on the near side of the intersection or, if none, then before entering the intersection, and shall remain stopped until an indication to proceed is shown, except as provided in subdivision (b). || “[a] driver facing a steady circular red signal alone shall stop at a marked limit line, but if none, before entering the crosswalk on the near side of the intersection or, if none, then before entering the intersection, and shall remain stopped until an indication to proceed is shown except … when a sign is in place prohibiting a turn, a driver, after stopping … facing a steady circular red signal, may turn right, or turn left from a one-way street onto a one-way street. A driver making that turn shall yield the right-of-way to pedestrians lawfully within an adjacent crosswalk and to any vehicle that has approached or is approaching so closely as to constitute an immediate hazard to the driver, and shall continue to yield the right-of-way to that vehicle until the driver can proceed with reasonable safety.” || “[a] driver facing a steady red arrow signal shall not enter the intersection to make the movement indicated by the arrow and, unless entering the intersection to make a movement permitted by another signal, shall stop at a clearly marked limit line, but if none, before entering the crosswalk on the near side of the intersection, or if none, then before entering the intersection, and shall remain stopped until an indication permitting movement is shown.”","Pursuant to Cal. Veh. Code § 21453(a), ""[a] driver facing a steady circular red signal alone shall stop at a marked limit line, but if none, before entering the crosswalk on the near side of the intersection or, if none, then before entering the intersection, and shall remain stopped until an indication to proceed is shown, except as provided in subdivision (b)."" || Pursuant to Cal. Veh. Code § 21453(a)-(b), “[a] driver facing a steady circular red signal alone shall stop at a marked limit line, but if none, before entering the crosswalk on the near side of the intersection or, if none, then before entering the intersection, and shall remain stopped until an indication to proceed is shown except … when a sign is in place prohibiting a turn, a driver, after stopping … facing a steady circular red signal, may turn right, or turn left from a one-way street onto a one-way street. A driver making that turn shall yield the right-of-way to pedestrians lawfully within an adjacent crosswalk and to any vehicle that has approached or is approaching so closely as to constitute an immediate hazard to the driver, and shall continue to yield the right-of-way to that vehicle until the driver can proceed with reasonable safety.” || Pursuant to Cal. Veh. Code § 21453(c), “[a] driver facing a steady red arrow signal shall not enter the intersection to make the movement indicated by the arrow and, unless entering the intersection to make a movement permitted by another signal, shall stop at a clearly marked limit line, but if none, before entering the crosswalk on the near side of the intersection, or if none, then before entering the intersection, and shall remain stopped until an indication permitting movement is shown.”",Failure to Obey Traffic Control Device | Improper Turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21453,official_state_code_section,official,CA,Vehicle Code,21453,Cal. Veh. Code § 21453,common_crash_causation,Red signal violations,failure to obey traffic control device / improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21453,
